ID,Type,URL,Status,Title,Section,Category.Product,Category.Brand,Body,Teaser,Image,Product.SKU,Product.ListPrice,Product.SellPrice,Product.Saving,Product.Stock.Value,Product.Stock.Message,vid,nid,field_group_value,field_metadata_value,field_closed_height_value,field_open_height_value,field_rungs_treads_value,field_weight_value,field_platform_height_value,field_open_depth_value,field_handrail_included_value,field_platform_size_value,field_folded_depth_value,field_floor_to_floor_height_value,field_tread_depth_value,field_colour_diameter_value,field_max_workload_value,field_overall_width_value,field_extended_length_value,field_approx_working_height_value,field_youtube_tag_value,field_standard_warranty_value,field_shipping_terms_value,field_tread_type_value,field_staircase_type_value,field_next_expected_delivery_value,field_lead_time_value,field_stockitem_value,field_bulky_value,field_search_text_value,field_bundle_deal_nid
11395,Product,Ladders/Specialist-Access/3.0m-Class-1-Single-Section-Aluminium-Ladder,1,"3.0m Class 1 Single Section Aluminium Ladder",Ladders,"Specialist Access",Pinnacle,"<p>The Pinnacle Industrial 3.0m Single Section Ladders are constructed to BS 2037 Class 1 from tough heavy wall aluminium that are ideal for access to pits and trenches as well as other high areas. Each end is fitted with rubber feet and the wide &apos;D&apos; shaped rungs are comfortable with deep serrations for additional grip.</p><ul><li>3.0m (10&rsquo;) Single section ladder</li><li>Heavy-duty construction for commercial applications (steel works, construction etc.)</li><li>Comfortable &lsquo;D&rsquo; shaped twist proof rungs</li><li>Rubber feet fitted both ends</li><li>1-year warranty</li><li>175kg workload capacity</li><li>Certified to BS 2037 Class 1</li></ul>","<p>The Pinnacle Industrial 3.0m Single Section Ladders are constructed to BS 2037 Class 1 from tough heavy wall aluminium that are ideal for access to pits and trenches as well as other high areas. Each end is fitted with rubber feet and the wide &apos;D& ...",http://www.ladders-online.com/warp_image.php?imagefile=warp_sites/laddersonline/files/ladders-3m-class-1-tuffsteel-pole-ladder.jpg&resizetoWidth=174,1100-001,93.42,93.42,0.00,2,"In Stock",11395,11395,"Heavy Duty",NULL,3,NULL,11,7,NULL,NULL,NULL,NULL,NULL,NULL,40,NULL,175,0.37,3,NULL,NULL,1-Year,NULL,"Twist-proof D-shaped rung",NULL,,7,Y,N,"3.0m Class 1 Single Section Aluminium Ladder",NULL
11397,Product,Ladders/Specialist-Access/4.0m-Class-1-Single-Section-Aluminium-Ladder,1,"4.0m Class 1 Single Section Aluminium Ladder",Ladders,"Specialist Access",Pinnacle,"<p>The Pinnacle Industrial 4.0m Single Section Ladders are constructed to BS 2037 Class 1 from tough heavy wall aluminium that are ideal for access to pits and trenches as well as other high areas. Each end is fitted with rubber feet and the wide &apos;D&apos; shaped rungs are comfortable with deep serrations for additional grip.</p><ul><li>4.0m (13&rsquo;) Single section ladder</li><li>Heavy-duty construction for commercial applications (steel works, construction etc.)</li><li>Comfortable &lsquo;D&rsquo; shaped twist proof rungs</li><li>Rubber feet fitted both ends</li><li>1-year warranty</li><li>175kg workload capacity</li><li>Certified to BS 2037 Class 1</li></ul>","<p>The Pinnacle Industrial 4.0m Single Section Ladders are constructed to BS 2037 Class 1 from tough heavy wall aluminium that are ideal for access to pits and trenches as well as other high areas. Each end is fitted with rubber feet and the wide &apos;D& ...",http://www.ladders-online.com/warp_image.php?imagefile=warp_sites/laddersonline/files/ladders-4m-class-1-tuffsteel-pole-ladder.jpg&resizetoWidth=174,1100-003,124.09,124.09,0.00,-1,"Out of Stock",11397,11397,"Heavy Duty",NULL,4,NULL,15,9,NULL,NULL,NULL,NULL,NULL,NULL,40,NULL,175,0.37,4,NULL,NULL,1-Year,NULL,"Twist-proof D-shaped rung",NULL,01/06/2012,7,Y,N,"4.0m Class 1 Single Section Aluminium Ladder",NULL
11399,Product,Ladders/Specialist-Access/5.0m-Class-1-Single-Section-Aluminium-Ladder,1,"5.0m Class 1 Single Section Aluminium Ladder",Ladders,"Specialist Access",Pinnacle,"<p>The Pinnacle Industrial 5.0m Single Section Ladders are constructed to BS 2037 Class 1 from tough heavy wall aluminium that are ideal for access to pits and trenches as well as other high areas. Each end is fitted with rubber feet and the wide &apos;D&apos; shaped rungs are comfortable with deep serrations for additional grip.</p><ul><li>5.0m (16.5&rsquo;) Single section ladder</li><li>Heavy-duty construction for commercial applications (steel works, construction etc.)</li><li>Comfortable &lsquo;D&rsquo; shaped twist proof rungs</li><li>Rubber feet fitted both ends</li><li>1-year warranty</li><li>175kg workload capacity</li><li>Certified to BS 2037 Class 1</li></ul>","<p>The Pinnacle Industrial 5.0m Single Section Ladders are constructed to BS 2037 Class 1 from tough heavy wall aluminium that are ideal for access to pits and trenches as well as other high areas. Each end is fitted with rubber feet and the wide &apos;D& ...",http://www.ladders-online.com/warp_image.php?imagefile=warp_sites/laddersonline/files/ladders-5m-class-1-tuffsteel-pole-ladder.jpg&resizetoWidth=174,1100-005,149.01,149.01,0.00,2,"In Stock",11399,11399,"Heavy Duty",NULL,5,NULL,19,11,NULL,NULL,NULL,NULL,NULL,NULL,40,NULL,175,0.37,5,NULL,NULL,1-Year,NULL,"Twist-proof D-shaped rung",NULL,,7,Y,N,"5.0m Class 1 Single Section Aluminium Ladder",NULL
11401,Product,Ladders/Extension-Ladders-Industrial/-2.5m-Class-1-Double-Section-Aluminium-Extension-Ladder,1," 2.5m Class 1 Double Section Aluminium Extension Ladder",Ladders,Ladders,Pinnacle,"<p>Our Class 1 2.5m Double Extension Ladders are built for the heaviest industrial type jobs you can imagine. Everything about these Class 1 Industrial ladders shouts long lasting and durable. They are built to withstand rigorous daily use in factories, warehouses, council workers and all other professions that require the use of Class 1 ladders.</p>
<p>These Class 1 Extension Ladders are heavy. Built with thicker wall aluminium to survive being used on a daily basis in harsh conditions the ladders weigh a ton and last a lifetime. The same twist proof style rungs as our Trade Extension Ladders range, but thicker and tougher.</p> The double and triple ladder sections are fitted with rung locks that hold the sections in place and therefore do not separate. Wider than our Trade Extension Ladders range, these Class 1 ladders offer a solid platform to work from.
<p>In order to comply with Health and Safety Executive you will need to use an anti slip device such as the <a href=""http://www.ladders-online.com/Accessories/Stabilising-and-Securing/Ladder-Protector"">Ladder Protector</a> when using this ladder. It also helps keep the ladder upright on ground that is soft or slippery. We also recommend a <a href=""http://www.ladders-online.com/Accessories/Stabilising-and-Securing/Ultimate-Stand-Off-Accessory"">Ladder Stand Off</a> is fitted to the top of your ladder to stop it slipping sideways and gives you more clearance when you are working against a wall or gutter.</p>
<p> You should also have be able to tie off the ladder at the top to reduce slipping.We are also able to offer engraving for theft prevention with your company or authority name etched onto the ladder sides. This service can easily be added to your order, but please call 08450 647 647 with the exact wording you require and place your order over the telephone.</p>
<p>We also sell Double & Triple Rope Operated Class 1 Extension Ladders. If you are looking for Rope or Single Section Ladders please call sales on 08450 647 647 for more details. Manufactured here in the UK, these Class 1 extension ladders are built to last.</p>
<ul>
<li>Heavy-duty construction for use in industrial work places</li>
<li>Comfortable 'D' shaped twist proof rungs add security</li>
<li>Rung locks fitted to ensure double sections do not separate</li>
<li>Rubber feet fitted both ends for added safety</li>
<li>1-year warranty</li>
<li>175kg workload capacity</li>
<li>Certified to BS 2037 Class 1</li>
</ul>
","<p>Our Class 1 2.5m Double Extension Ladders are built for the heaviest industrial type jobs you can imagine. Everything about these Class 1 Industrial ladders shouts long lasting and durable. They are built to withstand rigorous daily use in factories, w ...",http://www.ladders-online.com/warp_image.php?imagefile=warp_sites/laddersonline/files/ladders-2-5m-class-1-double-section-aluminium-extension-ladder.jpg&resizetoWidth=174,1100-010,153.39,153.39,0.00,6,"In Stock",11401,11401,"Heavy Duty",NULL,2.5,NULL,9,11,NULL,NULL,NULL,NULL,NULL,NULL,40,NULL,175,0.37,4.25,NULL,NULL,1-Year,NULL,"Twist-proof D-shaped rung",NULL,,7,Y,N,"2.5m extension ladders, industrial extension ladders, class 1 ladders, class 1 extension ladders, bs2037, bs2037 extension ladders, double ladders, double section ladders, 2.5m Class 1 Double Section Aluminium Extension Ladder",NULL
11402,Product,Ladders/Extension-Ladders-Industrial/3.0m-Class-1-Double-Section-Aluminium-Extension-Ladder,1,"3.0m Class 1 Double Section Aluminium Extension Ladder",Ladders,Ladders,Pinnacle,"<p>Our Class 1 3.0m Double Extension Ladders are built for the heaviest industrial type jobs you can imagine. Everything about these Class 1 Industrial ladders shouts long lasting and durable. They are built to withstand rigorous daily use in factories, warehouses, council workers and all other professions that require the use of Class 1 ladders.</p>
<p>These Class 1 Extension Ladders are heavy. Built with thicker wall aluminium to survive being used on a daily basis in harsh conditions the ladders weigh a ton and last a lifetime. The same twist proof style rungs as our Trade Extension Ladders range, but thicker and tougher.</p> The double and triple ladder sections are fitted with rung locks that hold the sections in place and therefore do not separate. Wider than our Trade Extension Ladders range, these Class 1 ladders offer a solid platform to work from.
<p>In order to comply with Health and Safety Executive you will need to use an anti slip device such as the <a href=""http://www.ladders-online.com/Accessories/Stabilising-and-Securing/Ladder-Protector"">Ladder Protector</a> when using this ladder. It also helps keep the ladder upright on ground that is soft or slippery. We also recommend a <a href=""http://www.ladders-online.com/Accessories/Stabilising-and-Securing/Ultimate-Stand-Off-Accessory"">Ladder Stand Off</a> is fitted to the top of your ladder to stop it slipping sideways and gives you more clearance when you are working against a wall or gutter.</p>
<p> You should also have be able to tie off the ladder at the top to reduce slipping.We are also able to offer engraving for theft prevention with your company or authority name etched onto the ladder sides. This service can easily be added to your order, but please call 08450 647 647 with the exact wording you require and place your order over the telephone.</p>
<p>We also sell Double & Triple Rope Operated Class 1 Extension Ladders. If you are looking for Rope or Single Section Ladders please call sales on 08450 647 647 for more details. Manufactured here in the UK, these Class 1 extension ladders are built to last.</p>
<ul>
<li>Heavy-duty construction for use in industrial work places</li>
<li>Comfortable 'D' shaped twist proof rungs add security</li>
<li>Rung locks fitted to ensure double sections do not separate</li>
<li>Rubber feet fitted both ends for added safety</li>
<li>1-year warranty</li>
<li>175kg workload capacity</li>
<li>Certified to BS 2037 Class 1</li>
</ul>
","<p>Our Class 1 3.0m Double Extension Ladders are built for the heaviest industrial type jobs you can imagine. Everything about these Class 1 Industrial ladders shouts long lasting and durable. They are built to withstand rigorous daily use in factories, w ...",http://www.ladders-online.com/warp_image.php?imagefile=warp_sites/laddersonline/files/ladders-3-0m-class-1-double-section-aluminium-extension-ladder.jpg&resizetoWidth=174,1100-011,174.57,174.57,0.00,0,"Out of Stock",11402,11402,"Heavy Duty",NULL,3,NULL,11,13,NULL,NULL,NULL,NULL,NULL,NULL,40,NULL,175,0.37,5.25,NULL,NULL,1-Year,NULL,"Twist-proof D-shaped rung",NULL,,7,Y,N,"3.0m extension ladders, industrial extension ladders, class 1 ladders, class 1 extension ladders, bs2037, bs2037 extension ladders, double ladders, double section ladders, 3.0m Class 1 Double Section Aluminium Extension Ladder",NULL
11403,Product,Ladders/Extension-Ladders-Industrial/3.5m-Class-1-Double-Section-Aluminium-Extension-Ladder,1,"3.5m Class 1 Double Section Aluminium Extension Ladder",Ladders,Ladders,Pinnacle,"<p>Our Class 1 3.5m Double Extension Ladders are built for the heaviest industrial type jobs you can imagine. Everything about these Class 1 Industrial ladders shouts long lasting and durable. They are built to withstand rigorous daily use in factories, warehouses, council workers and all other professions that require the use of Class 1 ladders.</p>
<p>These Class 1 Extension Ladders are heavy. Built with thicker wall aluminium to survive being used on a daily basis in harsh conditions the ladders weigh a ton and last a lifetime. The same twist proof style rungs as our Trade Extension Ladders range, but thicker and tougher.</p> The double and triple ladder sections are fitted with rung locks that hold the sections in place and therefore do not separate. Wider than our Trade Extension Ladders range, these Class 1 ladders offer a solid platform to work from.
<p>In order to comply with Health and Safety Executive you will need to use an anti slip device such as the <a href=""http://www.ladders-online.com/Accessories/Stabilising-and-Securing/Ladder-Protector"">Ladder Protector</a> when using this ladder. It also helps keep the ladder upright on ground that is soft or slippery. We also recommend a <a href=""http://www.ladders-online.com/Accessories/Stabilising-and-Securing/Ultimate-Stand-Off-Accessory"">Ladder Stand Off</a> is fitted to the top of your ladder to stop it slipping sideways and gives you more clearance when you are working against a wall or gutter.</p>
<p> You should also have be able to tie off the ladder at the top to reduce slipping.We are also able to offer engraving for theft prevention with your company or authority name etched onto the ladder sides. This service can easily be added to your order, but please call 08450 647 647 with the exact wording you require and place your order over the telephone.</p>
<p>We also sell Double & Triple Rope Operated Class 1 Extension Ladders. If you are looking for Rope or Single Section Ladders please call sales on 08450 647 647 for more details. Manufactured here in the UK, these Class 1 extension ladders are built to last.</p>
<ul>
<li>Heavy-duty construction for use in industrial work places</li>
<li>Comfortable 'D' shaped twist proof rungs add security</li>
<li>Rung locks fitted to ensure double sections do not separate</li>
<li>Rubber feet fitted both ends for added safety</li>
<li>1-year warranty</li>
<li>175kg workload capacity</li>
<li>Certified to BS 2037 Class 1</li>
</ul>
<p>The Pinnacle 3.5m Double Extension Ladder is suitable for heavy industrial applications and built to BS 2037 Class 1. The tough box section stiles fitted with large twist proof rungs. The high traction and comfortable &apos;D&apos; shaped rungs help reduce fatigue and increase working speed.</p><ul><li>3.5m (11.5&rsquo;) Closed length</li><li>Heavy-duty construction for commercial applications (steel works, construction etc.)</li><li>Comfortable &lsquo;D&rsquo; shaped twist proof rungs</li><li>Rung locks fitted to ensure double sections do not separate</li><li>Rubber feet fitted both ends</li><li>1-year warranty</li><li>175kg workload capacity</li><li>Certified to BS 2037 Class 1</li></ul>","<p>Our Class 1 3.5m Double Extension Ladders are built for the heaviest industrial type jobs you can imagine. Everything about these Class 1 Industrial ladders shouts long lasting and durable. They are built to withstand rigorous daily use in factories, w ...",http://www.ladders-online.com/warp_image.php?imagefile=warp_sites/laddersonline/files/ladders-3-5m-class-1-double-section-aluminium-extension-ladder.jpg&resizetoWidth=174,1100-012,208.01,208.01,0.00,7,"In Stock",11403,11403,"Heavy Duty",NULL,3.5,NULL,13,17,NULL,NULL,NULL,NULL,NULL,NULL,40,NULL,175,0.37,6.25,NULL,NULL,1-Year,NULL,"Twist-proof D-shaped rung",NULL,,7,Y,N,"3.5m extension ladders, industrial extension ladders, class 1 ladders, class 1 extension ladders, bs2037, bs2037 extension ladders, double ladders, double section ladders, 3.5m Class 1 Double Section Aluminium Extension Ladder",NULL
11404,Product,Ladders/Extension-Ladders-Industrial/4.0m-Class-1-Double-Section-Aluminium-Extension-Ladder,1,"4.0m Class 1 Double Section Aluminium Extension Ladder",Ladders,Ladders,Pinnacle,"<p>Our Class 1 4.0m Double Extension Ladders are built for the heaviest industrial type jobs you can imagine. Everything about these Class 1 Industrial ladders shouts long lasting and durable. They are built to withstand rigorous daily use in factories, warehouses, council workers and all other professions that require the use of Class 1 ladders.</p>
<p>These Class 1 Extension Ladders are heavy. Built with thicker wall aluminium to survive being used on a daily basis in harsh conditions the ladders weigh a ton and last a lifetime. The same twist proof style rungs as our Trade Extension Ladders range, but thicker and tougher.</p> The double and triple ladder sections are fitted with rung locks that hold the sections in place and therefore do not separate. Wider than our Trade Extension Ladders range, these Class 1 ladders offer a solid platform to work from.
<p>In order to comply with Health and Safety Executive you will need to use an anti slip device such as the <a href=""http://www.ladders-online.com/Accessories/Stabilising-and-Securing/Ladder-Protector"">Ladder Protector</a> when using this ladder. It also helps keep the ladder upright on ground that is soft or slippery. We also recommend a <a href=""http://www.ladders-online.com/Accessories/Stabilising-and-Securing/Ultimate-Stand-Off-Accessory"">Ladder Stand Off</a> is fitted to the top of your ladder to stop it slipping sideways and gives you more clearance when you are working against a wall or gutter.</p>
<p> You should also have be able to tie off the ladder at the top to reduce slipping.We are also able to offer engraving for theft prevention with your company or authority name etched onto the ladder sides. This service can easily be added to your order, but please call 08450 647 647 with the exact wording you require and place your order over the telephone.</p>
<p>We also sell Double & Triple Rope Operated Class 1 Extension Ladders. If you are looking for Rope or Single Section Ladders please call sales on 08450 647 647 for more details. Manufactured here in the UK, these Class 1 extension ladders are built to last.</p>
<ul>
<li>Heavy-duty construction for use in industrial work places</li>
<li>Comfortable 'D' shaped twist proof rungs add security</li>
<li>Rung locks fitted to ensure double sections do not separate</li>
<li>Rubber feet fitted both ends for added safety</li>
<li>1-year warranty</li>
<li>175kg workload capacity</li>
<li>Certified to BS 2037 Class 1</li>
</ul>
<p>The Pinnacle 4.0m Double Extension Ladder is suitable for heavy industrial applications and built to BS 2037 Class 1. The tough box section stiles fitted with large twist proof rungs. The high traction and comfortable &apos;D&apos; shaped rungs help reduce fatigue and increase working speed.</p><ul><li>4.0m (13&rsquo;) Closed length</li><li>Heavy-duty construction for commercial applications (steel works, construction etc.)</li><li>Comfortable &lsquo;D&rsquo; shaped twist proof rungs</li><li>Rung locks fitted to ensure double sections do not separate</li><li>Rubber feet fitted both ends</li><li>1-year warranty</li><li>175kg workload capacity</li><li>Certified to BS 2037 Class 1</li></ul>","<p>Our Class 1 4.0m Double Extension Ladders are built for the heaviest industrial type jobs you can imagine. Everything about these Class 1 Industrial ladders shouts long lasting and durable. They are built to withstand rigorous daily use in factories, w ...",http://www.ladders-online.com/warp_image.php?imagefile=warp_sites/laddersonline/files/ladders-4-0m-class-1-double-section-aluminium-extension-ladder.jpg&resizetoWidth=174,1100-013,244.19,244.19,0.00,4,"In Stock",11404,11404,"Heavy Duty",NULL,4,NULL,15,20,NULL,NULL,NULL,NULL,NULL,NULL,40,NULL,175,0.37,7.25,NULL,NULL,1-Year,NULL,"Twist-proof D-shaped rung",NULL,,7,Y,N,"4.0m extension ladders, industrial extension ladders, class 1 ladders, class 1 extension ladders, bs2037, bs2037 extension ladders, double ladders, double section ladders, 4.0m Class 1 Double Section Aluminium Extension Ladder",NULL
11405,Product,Ladders/Extension-Ladders-Industrial/4.5m-Class-1-Double-Section-Aluminium-Extension-Ladder,1,"4.5m Class 1 Double Section Aluminium Extension Ladder",Ladders,Ladders,Pinnacle,"<p>Our Class 1 4.5m Double Extension Ladders are built for the heaviest industrial type jobs you can imagine. Everything about these Class 1 Industrial ladders shouts long lasting and durable. They are built to withstand rigorous daily use in factories, warehouses, council workers and all other professions that require the use of Class 1 ladders.</p>
<p>These Class 1 Extension Ladders are heavy. Built with thicker wall aluminium to survive being used on a daily basis in harsh conditions the ladders weigh a ton and last a lifetime. The same twist proof style rungs as our Trade Extension Ladders range, but thicker and tougher.</p> The double and triple ladder sections are fitted with rung locks that hold the sections in place and therefore do not separate. Wider than our Trade Extension Ladders range, these Class 1 ladders offer a solid platform to work from.
<p>In order to comply with Health and Safety Executive you will need to use an anti slip device such as the <a href=""http://www.ladders-online.com/Accessories/Stabilising-and-Securing/Ladder-Protector"">Ladder Protector</a> when using this ladder. It also helps keep the ladder upright on ground that is soft or slippery. We also recommend a <a href=""http://www.ladders-online.com/Accessories/Stabilising-and-Securing/Ultimate-Stand-Off-Accessory"">Ladder Stand Off</a> is fitted to the top of your ladder to stop it slipping sideways and gives you more clearance when you are working against a wall or gutter.</p>
<p> You should also have be able to tie off the ladder at the top to reduce slipping.We are also able to offer engraving for theft prevention with your company or authority name etched onto the ladder sides. This service can easily be added to your order, but please call 08450 647 647 with the exact wording you require and place your order over the telephone.</p>
<p>We also sell Double & Triple Rope Operated Class 1 Extension Ladders. If you are looking for Rope or Single Section Ladders please call sales on 08450 647 647 for more details. Manufactured here in the UK, these Class 1 extension ladders are built to last.</p>
<ul>
<li>Heavy-duty construction for use in industrial work places</li>
<li>Comfortable 'D' shaped twist proof rungs add security</li>
<li>Rung locks fitted to ensure double sections do not separate</li>
<li>Rubber feet fitted both ends for added safety</li>
<li>1-year warranty</li>
<li>175kg workload capacity</li>
<li>Certified to BS 2037 Class 1</li>
</ul>
","<p>Our Class 1 4.5m Double Extension Ladders are built for the heaviest industrial type jobs you can imagine. Everything about these Class 1 Industrial ladders shouts long lasting and durable. They are built to withstand rigorous daily use in factories, w ...",http://www.ladders-online.com/warp_image.php?imagefile=warp_sites/laddersonline/files/ladders-4-5m-class-1-double-section-aluminium-extension-ladder.jpg&resizetoWidth=174,1100-014,290.80,290.80,0.00,1,"In Stock",11405,11405,"Heavy Duty",NULL,4.5,NULL,17,26,NULL,NULL,NULL,NULL,NULL,NULL,40,NULL,175,0.37,8.25,NULL,NULL,1-Year,NULL,"Twist-proof D-shaped rung",NULL,,7,Y,N,"4.5m extension ladders, industrial extension ladders, class 1 ladders, class 1 extension ladders, bs2037, bs2037 extension ladders, double ladders, double section ladders, 4.5m Class 1 Double Section Aluminium Extension Ladder",NULL
11406,Product,Ladders/Extension-Ladders-Industrial/5.0m-Class-1-Double-Section-Aluminium-Extension-Ladder,1,"5.0m Class 1 Double Section Aluminium Extension Ladder",Ladders,Ladders,Pinnacle,"<p>Our Class 1 5.0m Double Extension Ladders are built for the heaviest industrial type jobs you can imagine. Everything about these Class 1 Industrial ladders shouts long lasting and durable. They are built to withstand rigorous daily use in factories, warehouses, council workers and all other professions that require the use of Class 1 ladders.</p>
<p>These Class 1 Extension Ladders are heavy. Built with thicker wall aluminium to survive being used on a daily basis in harsh conditions the ladders weigh a ton and last a lifetime. The same twist proof style rungs as our Trade Extension Ladders range, but thicker and tougher.</p> The double and triple ladder sections are fitted with rung locks that hold the sections in place and therefore do not separate. Wider than our Trade Extension Ladders range, these Class 1 ladders offer a solid platform to work from.
<p>In order to comply with Health and Safety Executive you will need to use an anti slip device such as the <a href=""http://www.ladders-online.com/Accessories/Stabilising-and-Securing/Ladder-Protector"">Ladder Protector</a> when using this ladder. It also helps keep the ladder upright on ground that is soft or slippery. We also recommend a <a href=""http://www.ladders-online.com/Accessories/Stabilising-and-Securing/Ultimate-Stand-Off-Accessory"">Ladder Stand Off</a> is fitted to the top of your ladder to stop it slipping sideways and gives you more clearance when you are working against a wall or gutter.</p>
<p> You should also have be able to tie off the ladder at the top to reduce slipping.We are also able to offer engraving for theft prevention with your company or authority name etched onto the ladder sides. This service can easily be added to your order, but please call 08450 647 647 with the exact wording you require and place your order over the telephone.</p>
<p>We also sell Double & Triple Rope Operated Class 1 Extension Ladders. If you are looking for Rope or Single Section Ladders please call sales on 08450 647 647 for more details. Manufactured here in the UK, these Class 1 extension ladders are built to last.</p>
<ul>
<li>Heavy-duty construction for use in industrial work places</li>
<li>Comfortable 'D' shaped twist proof rungs add security</li>
<li>Rung locks fitted to ensure double sections do not separate</li>
<li>Rubber feet fitted both ends for added safety</li>
<li>1-year warranty</li>
<li>175kg workload capacity</li>
<li>Certified to BS 2037 Class 1</li>
</ul>
","<p>Our Class 1 5.0m Double Extension Ladders are built for the heaviest industrial type jobs you can imagine. Everything about these Class 1 Industrial ladders shouts long lasting and durable. They are built to withstand rigorous daily use in factories, w ...",http://www.ladders-online.com/warp_image.php?imagefile=warp_sites/laddersonline/files/ladders-5-0m-class-1-double-section-aluminium-extension-ladder.jpg&resizetoWidth=174,1100-015,348.84,348.84,0.00,2,"In Stock",11406,11406,"Heavy Duty",NULL,5,NULL,19,29,NULL,NULL,NULL,NULL,NULL,NULL,40,NULL,175,0.37,9.25,NULL,NULL,1-Year,NULL,"Twist-proof D-shaped rung",NULL,,7,Y,N,"5.0m extension ladders, industrial extension ladders, class 1 ladders, class 1 extension ladders, bs2037, bs2037 extension ladders, double ladders, double section ladders, 5.0m Class 1 Double Section Aluminium Extension Ladder",NULL
11407,Product,Ladders/Extension-Ladders-Industrial/5.5m-Class-1-Double-Section-Aluminium-Extension-Ladder,1,"5.5m Class 1 Double Section Aluminium Extension Ladder",Ladders,Ladders,Pinnacle,"<p>Our Class 1 5.5m Double Extension Ladders are built for the heaviest industrial type jobs you can imagine. Everything about these Class 1 Industrial ladders shouts long lasting and durable. They are built to withstand rigorous daily use in factories, warehouses, council workers and all other professions that require the use of Class 1 ladders.</p>
<p>These Class 1 Extension Ladders are heavy. Built with thicker wall aluminium to survive being used on a daily basis in harsh conditions the ladders weigh a ton and last a lifetime. The same twist proof style rungs as our Trade Extension Ladders range, but thicker and tougher.</p> The double and triple ladder sections are fitted with rung locks that hold the sections in place and therefore do not separate. Wider than our Trade Extension Ladders range, these Class 1 ladders offer a solid platform to work from.
<p>In order to comply with Health and Safety Executive you will need to use an anti slip device such as the <a href=""http://www.ladders-online.com/Accessories/Stabilising-and-Securing/Ladder-Protector"">Ladder Protector</a> when using this ladder. It also helps keep the ladder upright on ground that is soft or slippery. We also recommend a <a href=""http://www.ladders-online.com/Accessories/Stabilising-and-Securing/Ultimate-Stand-Off-Accessory"">Ladder Stand Off</a> is fitted to the top of your ladder to stop it slipping sideways and gives you more clearance when you are working against a wall or gutter.</p>
<p> You should also have be able to tie off the ladder at the top to reduce slipping.We are also able to offer engraving for theft prevention with your company or authority name etched onto the ladder sides. This service can easily be added to your order, but please call 08450 647 647 with the exact wording you require and place your order over the telephone.</p>
<p>We also sell Double & Triple Rope Operated Class 1 Extension Ladders. If you are looking for Rope or Single Section Ladders please call sales on 08450 647 647 for more details. Manufactured here in the UK, these Class 1 extension ladders are built to last.</p>
<ul>
<li>Heavy-duty construction for use in industrial work places</li>
<li>Comfortable 'D' shaped twist proof rungs add security</li>
<li>Rung locks fitted to ensure double sections do not separate</li>
<li>Rubber feet fitted both ends for added safety</li>
<li>1-year warranty</li>
<li>175kg workload capacity</li>
<li>Certified to BS 2037 Class 1</li>
</ul>
","<p>Our Class 1 5.5m Double Extension Ladders are built for the heaviest industrial type jobs you can imagine. Everything about these Class 1 Industrial ladders shouts long lasting and durable. They are built to withstand rigorous daily use in factories, w ...",http://www.ladders-online.com/warp_image.php?imagefile=warp_sites/laddersonline/files/ladders-5-5m-class-1-double-section-aluminium-extension-ladder.jpg&resizetoWidth=174,1100-016,354.86,354.86,0.00,1,"In Stock",11407,11407,"Heavy Duty",NULL,5.5,NULL,21,31,NULL,NULL,NULL,NULL,NULL,NULL,40,NULL,175,0.37,10,NULL,NULL,1-Year,NULL,"Twist-proof D-shaped rung",NULL,,7,Y,Y,"5.5m Class 1 Double Section Aluminium Extension Ladder,",NULL
